;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Running nr;Customer id;;;Products;;;;;;;;;;;;;; Price per unit ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;A;B;C;D;E;F;G;H;I;K;L;;;; A ; B ; C ; D ; E ; F ; G ; H ; I ; K ; L ;;;;;;;;;;;;;;
2484;9;;;4;7;0;0;0;0;0;23;0;0;0;34;;; € 20,00 ; € 6,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 18,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
2485;99;;;20;0;22;0;0;24;0;0;14;0;25;105;;; € 19,00 ; € -   ; € 18,00 ; € -   ; € -   ; € 133,00 ; € -   ; € -   ; € 20,00 ; € -   ; € 15,00 ;;;;;;;;;;;;;;
2486;149;;;18;24;0;0;0;0;0;43;0;0;2;87;;; € 19,00 ; € 5,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 18,00 ; € -   ; € -   ; € 20,00 ;;;;;;;;;;;;;;
2487;99;;;20;0;51;0;0;37;0;0;22;30;0;160;;; € 16,00 ; € -   ; € 29,00 ; € -   ; € -   ; € 177,00 ; € -   ; € -   ; € 17,00 ; € 19,00 ; € -   ;;;;;;;;;;;;;;
2488;97;;;14;0;0;0;0;0;10;41;0;71;28;164;;; € 17,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 23,00 ; € 18,00 ; € -   ; € 15,00 ; € 19,00 ;;;;;;;;;;;;;;
2489;128;;;4;18;91;0;49;85;64;58;15;0;0;384;;; € 17,00 ; € 6,00 ; € 40,00 ; € -   ; € 17,00 ; € 100,00 ; € 32,00 ; € 20,00 ; € 15,00 ; € -   ; € -   ;;;;;;;;;;;;;;
2490;88;;;5;7;32;20;43;35;70;38;0;76;0;326;;; € 20,00 ; € 8,00 ; € 43,00 ; € 7,00 ; € 16,00 ; € 141,00 ; € 24,00 ; € 15,00 ; € -   ; € 19,00 ; € -   ;;;;;;;;;;;;;;
2491;47;;;38;0;73;0;0;50;3;33;15;103;0;315;;; € 15,00 ; € -   ; € 23,00 ; € -   ; € -   ; € 180,00 ; € 24,00 ; € 17,00 ; € 20,00 ; € 17,00 ; € -   ;;;;;;;;;;;;;;
2492;141;;;5;43;0;0;37;9;0;27;0;52;26;199;;; € 17,00 ; € 6,00 ; € -   ; € -   ; € 16,00 ; € 187,00 ; € -   ; € 15,00 ; € -   ; € 20,00 ; € 15,00 ;;;;;;;;;;;;;;
2493;16;;;40;2;68;0;12;0;0;25;0;25;44;216;;; € 15,00 ; € 10,00 ; € 50,00 ; € -   ; € 20,00 ; € -   ; € -   ; € 19,00 ; € -   ; € 19,00 ; € 20,00 ;;;;;;;;;;;;;;
2494;13;;;1;49;16;0;2;0;0;56;13;0;17;154;;; € 15,00 ; € 8,00 ; € 28,00 ; € -   ; € 15,00 ; € -   ; € -   ; € 20,00 ; € 18,00 ; € -   ; € 15,00 ;;;;;;;;;;;;;;
2495;61;;;8;0;0;0;0;0;61;55;0;0;12;136;;; € 19,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 37,00 ; € 16,00 ; € -   ; € -   ; € 20,00 ;;;;;;;;;;;;;;
2496;5;;;40;24;0;15;27;50;0;41;9;17;0;223;;; € 19,00 ; € 7,00 ; € -   ; € 20,00 ; € 20,00 ; € 147,00 ; € -   ; € 18,00 ; € 16,00 ; € 20,00 ; € -   ;;;;;;;;;;;;;;
2497;14;;;38;0;20;9;24;0;0;8;0;0;49;148;;; € 17,00 ; € -   ; € 32,00 ; € 11,00 ; € 17,00 ; € -   ; € -   ; € 16,00 ; € -   ; € -   ; € 16,00 ;;;;;;;;;;;;;;
2498;17;;;0;0;20;0;4;32;0;23;22;66;0;167;;; € -   ; € -   ; € 17,00 ; € -   ; € 16,00 ; € 152,00 ; € -   ; € 16,00 ; € 17,00 ; € 16,00 ; € -   ;;;;;;;;;;;;;;
2499;76;;;22;0;72;0;22;0;0;45;29;48;30;268;;; € 17,00 ; € -   ; € 41,00 ; € -   ; € 19,00 ; € -   ; € -   ; € 15,00 ; € 19,00 ; € 15,00 ; € 20,00 ;;;;;;;;;;;;;;
2500;132;;;8;45;0;0;0;17;0;33;0;0;39;142;;; € 20,00 ; € 7,00 ; € -   ; € -   ; € -   ; € 189,00 ; € -   ; € 16,00 ; € -   ; € -   ; € 18,00 ;;;;;;;;;;;;;;
2501;120;;;16;0;72;0;0;89;34;15;0;0;0;226;;; € 18,00 ; € -   ; € 47,00 ; € -   ; € -   ; € 103,00 ; € 5,00 ; € 19,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
2502;113;;;15;47;11;20;7;41;0;0;0;0;0;141;;; € 19,00 ; € 9,00 ; € 37,00 ; € 12,00 ; € 19,00 ; € 153,00 ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
2503;60;;;0;44;29;0;0;75;15;45;0;0;0;208;;; € -   ; € 8,00 ; € 25,00 ; € -   ; € -   ; € 145,00 ; € 32,00 ; € 15,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
2504;11;;;28;48;0;0;0;46;0;9;0;102;0;233;;; € 16,00 ; € 6,00 ; € -   ; € -   ; € -   ; € 112,00 ; € -   ; € 15,00 ; € -   ; € 17,00 ; € -   ;;;;;;;;;;;;;;
2505;112;;;32;21;0;0;38;80;0;0;12;67;0;250;;; € 20,00 ; € 10,00 ; € -   ; € -   ; € 15,00 ; € 185,00 ; € -   ; € -   ; € 16,00 ; € 20,00 ; € -   ;;;;;;;;;;;;;;
2506;11;;;32;17;23;1;42;0;0;0;8;22;4;149;;; € 16,00 ; € 9,00 ; € 41,00 ; € 10,00 ; € 20,00 ; € -   ; € -   ; € -   ; € 20,00 ; € 19,00 ; € 20,00 ;;;;;;;;;;;;;;
2507;7;;;12;30;0;16;0;0;0;18;0;32;0;108;;; € 16,00 ; € 6,00 ; € -   ; € 20,00 ; € -   ; € -   ; € -   ; € 16,00 ; € -   ; € 17,00 ; € -   ;;;;;;;;;;;;;;
2508;35;;;8;5;0;0;25;28;9;0;0;98;0;173;;; € 18,00 ; € 10,00 ; € -   ; € -   ; € 18,00 ; € 167,00 ; € 36,00 ; € -   ; € -   ; € 16,00 ; € -   ;;;;;;;;;;;;;;
2509;90;;;20;12;45;0;36;98;0;0;26;70;23;330;;; € 19,00 ; € 10,00 ; € 22,00 ; € -   ; € 16,00 ; € 104,00 ; € -   ; € -   ; € 17,00 ; € 18,00 ; € 19,00 ;;;;;;;;;;;;;;
2510;38;;;38;9;0;6;43;0;15;0;30;0;1;142;;; € 20,00 ; € 10,00 ; € -   ; € 10,00 ; € 16,00 ; € -   ; € 14,00 ; € -   ; € 20,00 ; € -   ; € 15,00 ;;;;;;;;;;;;;;
2511;50;;;13;0;58;8;0;4;0;12;0;14;50;159;;; € 15,00 ; € -   ; € 16,00 ; € 20,00 ; € -   ; € 111,00 ; € -   ; € 18,00 ; € -   ; € 15,00 ; € 20,00 ;;;;;;;;;;;;;;
2512;110;;;19;0;0;1;0;0;48;0;27;0;0;95;;; € 18,00 ; € -   ; € -   ; € 8,00 ; € -   ; € -   ; € 13,00 ; € -   ; € 18,00 ; € -   ; € -   ;;;;;;;;;;;;;;
2513;50;;;36;0;0;10;12;16;0;32;2;0;0;108;;; € 17,00 ; € -   ; € -   ; € 18,00 ; € 15,00 ; € 168,00 ; € -   ; € 19,00 ; € 18,00 ; € -   ; € -   ;;;;;;;;;;;;;;
2514;150;;;18;0;83;0;1;0;62;47;20;15;0;246;;; € 16,00 ; € -   ; € 15,00 ; € -   ; € 19,00 ; € -   ; € 26,00 ; € 17,00 ; € 20,00 ; € 18,00 ; € -   ;;;;;;;;;;;;;;
2515;116;;;0;0;4;20;0;83;0;0;0;107;0;214;;; € -   ; € -   ; € 41,00 ; € 6,00 ; € -   ; € 179,00 ; € -   ; € -   ; € -   ; € 18,00 ; € -   ;;;;;;;;;;;;;;
2516;125;;;8;0;49;0;28;45;0;0;0;71;20;221;;; € 20,00 ; € -   ; € 49,00 ; € -   ; € 15,00 ; € 154,00 ; € -   ; € -   ; € -   ; € 17,00 ; € 18,00 ;;;;;;;;;;;;;;
2517;104;;;20;15;70;1;0;0;88;0;0;0;0;194;;; € 19,00 ; € 8,00 ; € 32,00 ; € 9,00 ; € -   ; € -   ; € 30,00 ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
2518;92;;;9;49;0;0;20;91;74;0;30;0;30;303;;; € 17,00 ; € 6,00 ; € -   ; € -   ; € 17,00 ; € 176,00 ; € 10,00 ; € -   ; € 20,00 ; € -   ; € 19,00 ;;;;;;;;;;;;;;
2519;38;;;12;10;99;13;0;35;0;56;0;31;38;294;;; € 17,00 ; € 7,00 ; € 35,00 ; € 6,00 ; € -   ; € 115,00 ; € -   ; € 16,00 ; € -   ; € 17,00 ; € 18,00 ;;;;;;;;;;;;;;
2520;115;;;18;35;0;0;0;0;21;0;14;0;15;103;;; € 19,00 ; € 8,00 ; € -   ; € -   ; € -   ; € -   ; € 34,00 ; € -   ; € 15,00 ; € -   ; € 17,00 ;;;;;;;;;;;;;;
2521;136;;;2;50;0;0;1;10;38;49;12;44;0;206;;; € 19,00 ; € 6,00 ; € -   ; € -   ; € 20,00 ; € 175,00 ; € 24,00 ; € 16,00 ; € 18,00 ; € 19,00 ; € -   ;;;;;;;;;;;;;;
2522;78;;;40;27;0;17;0;54;0;0;25;0;50;213;;; € 17,00 ; € 5,00 ; € -   ; € 5,00 ; € -   ; € 128,00 ; € -   ; € -   ; € 17,00 ; € -   ; € 16,00 ;;;;;;;;;;;;;;
2523;30;;;16;0;0;0;0;0;50;0;0;90;35;191;;; € 20,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 24,00 ; € -   ; € -   ; € 16,00 ; € 20,00 ;;;;;;;;;;;;;;
2524;53;;;11;0;0;0;0;22;14;0;0;0;0;47;;; € 17,00 ; € -   ; € -   ; € -   ; € -   ; € 144,00 ; € 27,00 ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
2525;29;;;32;0;5;15;0;11;35;0;18;102;0;218;;; € 17,00 ; € -   ; € 29,00 ; € 18,00 ; € -   ; € 150,00 ; € 5,00 ; € -   ; € 15,00 ; € 20,00 ; € -   ;;;;;;;;;;;;;;
2526;149;;;30;0;18;12;7;0;0;0;0;0;4;71;;; € 17,00 ; € -   ; € 36,00 ; € 20,00 ; € 19,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 15,00 ;;;;;;;;;;;;;;
2527;38;;;36;0;0;1;0;89;0;47;0;0;0;173;;; € 17,00 ; € -   ; € -   ; € 11,00 ; € -   ; € 155,00 ; € -   ; € 18,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
2528;20;;;14;6;64;0;6;0;86;0;0;0;0;176;;; € 18,00 ; € 8,00 ; € 28,00 ; € -   ; € 18,00 ; € -   ; € 37,00 ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
2529;26;;;16;0;0;0;30;0;8;0;8;25;50;137;;; € 17,00 ; € -   ; € -   ; € -   ; € 16,00 ; € -   ; € 40,00 ; € -   ; € 19,00 ; € 20,00 ; € 19,00 ;;;;;;;;;;;;;;
2530;115;;;11;17;0;0;6;7;0;49;12;0;20;122;;; € 18,00 ; € 9,00 ; € -   ; € -   ; € 16,00 ; € 120,00 ; € -   ; € 20,00 ; € 17,00 ; € -   ; € 17,00 ;;;;;;;;;;;;;;
2531;65;;;22;24;46;14;0;0;22;48;0;49;0;225;;; € 15,00 ; € 6,00 ; € 29,00 ; € 16,00 ; € -   ; € -   ; € 20,00 ; € 15,00 ; € -   ; € 17,00 ; € -   ;;;;;;;;;;;;;;
2532;100;;;38;10;71;0;16;27;10;30;0;58;12;272;;; € 20,00 ; € 10,00 ; € 38,00 ; € -   ; € 20,00 ; € 191,00 ; € 35,00 ; € 16,00 ; € -   ; € 18,00 ; € 17,00 ;;;;;;;;;;;;;;
2533;117;;;11;0;45;6;0;0;59;0;0;0;40;161;;; € 18,00 ; € -   ; € 49,00 ; € 17,00 ; € -   ; € -   ; € 38,00 ; € -   ; € -   ; € -   ; € 20,00 ;;;;;;;;;;;;;;
2534;85;;;1;0;0;13;32;58;28;55;27;12;23;249;;; € 15,00 ; € -   ; € -   ; € 8,00 ; € 16,00 ; € 140,00 ; € 21,00 ; € 15,00 ; € 20,00 ; € 20,00 ; € 16,00 ;;;;;;;;;;;;;;
2535;28;;;36;0;4;13;28;0;35;0;0;0;22;138;;; € 17,00 ; € -   ; € 41,00 ; € 10,00 ; € 19,00 ; € -   ; € 38,00 ; € -   ; € -   ; € -   ; € 18,00 ;;;;;;;;;;;;;;
2536;56;;;12;43;27;0;25;0;41;0;0;33;47;228;;; € 20,00 ; € 8,00 ; € 48,00 ; € -   ; € 17,00 ; € -   ; € 6,00 ; € -   ; € -   ; € 18,00 ; € 17,00 ;;;;;;;;;;;;;;
2537;138;;;36;45;5;0;50;79;31;45;0;0;31;322;;; € 17,00 ; € 8,00 ; € 39,00 ; € -   ; € 20,00 ; € 189,00 ; € 33,00 ; € 16,00 ; € -   ; € -   ; € 17,00 ;;;;;;;;;;;;;;
2538;49;;;3;35;0;10;15;0;0;0;0;70;6;139;;; € 18,00 ; € 7,00 ; € -   ; € 18,00 ; € 16,00 ; € -   ; € -   ; € -   ; € -   ; € 18,00 ; € 16,00 ;;;;;;;;;;;;;;
2539;79;;;30;1;0;0;42;0;31;0;0;80;0;184;;; € 18,00 ; € 6,00 ; € -   ; € -   ; € 17,00 ; € -   ; € 29,00 ; € -   ; € -   ; € 16,00 ; € -   ;;;;;;;;;;;;;;
2540;86;;;20;0;0;7;0;33;0;0;0;75;43;178;;; € 19,00 ; € -   ; € -   ; € 18,00 ; € -   ; € 135,00 ; € -   ; € -   ; € -   ; € 19,00 ; € 18,00 ;;;;;;;;;;;;;;
2541;112;;;4;0;70;0;0;0;12;3;0;0;11;100;;; € 16,00 ; € -   ; € 44,00 ; € -   ; € -   ; € -   ; € 38,00 ; € 20,00 ; € -   ; € -   ; € 20,00 ;;;;;;;;;;;;;;
2542;70;;;22;0;0;14;34;88;0;15;0;78;38;289;;; € 20,00 ; € -   ; € -   ; € 20,00 ; € 19,00 ; € 154,00 ; € -   ; € 16,00 ; € -   ; € 17,00 ; € 15,00 ;;;;;;;;;;;;;;
2543;115;;;32;0;50;3;23;69;31;0;0;0;49;257;;; € 18,00 ; € -   ; € 33,00 ; € 17,00 ; € 15,00 ; € 129,00 ; € 38,00 ; € -   ; € -   ; € -   ; € 17,00 ;;;;;;;;;;;;;;
2544;3;;;12;1;65;2;42;0;0;0;0;0;16;138;;; € 15,00 ; € 9,00 ; € 32,00 ; € 20,00 ; € 18,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 15,00 ;;;;;;;;;;;;;;
2545;90;;;38;0;0;0;15;55;0;0;20;0;40;168;;; € 15,00 ; € -   ; € -   ; € -   ; € 17,00 ; € 188,00 ; € -   ; € -   ; € 16,00 ; € -   ; € 15,00 ;;;;;;;;;;;;;;
2546;114;;;22;41;0;17;0;0;0;45;0;0;44;169;;; € 20,00 ; € 10,00 ; € -   ; € 13,00 ; € -   ; € -   ; € -   ; € 16,00 ; € -   ; € -   ; € 18,00 ;;;;;;;;;;;;;;
2547;26;;;4;0;0;1;10;0;64;42;29;16;6;172;;; € 17,00 ; € -   ; € -   ; € 5,00 ; € 20,00 ; € -   ; € 37,00 ; € 16,00 ; € 16,00 ; € 17,00 ; € 15,00 ;;;;;;;;;;;;;;
2548;83;;;19;0;59;0;0;0;13;0;2;0;0;93;;; € 18,00 ; € -   ; € 46,00 ; € -   ; € -   ; € -   ; € 15,00 ; € -   ; € 19,00 ; € -   ; € -   ;;;;;;;;;;;;;;
2549;109;;;30;0;94;0;0;22;0;0;0;0;35;181;;; € 19,00 ; € -   ; € 42,00 ; € -   ; € -   ; € 110,00 ; € -   ; € -   ; € -   ; € -   ; € 17,00 ;;;;;;;;;;;;;;
2550;128;;;7;4;0;0;26;0;0;0;0;0;27;64;;; € 20,00 ; € 5,00 ; € -   ; € -   ; € 20,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 16,00 ;;;;;;;;;;;;;;
2551;145;;;16;34;0;0;6;70;26;9;6;0;0;167;;; € 16,00 ; € 9,00 ; € -   ; € -   ; € 19,00 ; € 192,00 ; € 9,00 ; € 15,00 ; € 17,00 ; € -   ; € -   ;;;;;;;;;;;;;;
2552;81;;;36;28;0;0;0;0;18;41;0;36;0;159;;; € 20,00 ; € 10,00 ; € -   ; € -   ; € -   ; € -   ; € 15,00 ; € 20,00 ; € -   ; € 16,00 ; € -   ;;;;;;;;;;;;;;
2553;138;;;2;6;0;0;46;0;0;35;0;0;14;103;;; € 17,00 ; € 10,00 ; € -   ; € -   ; € 15,00 ; € -   ; € -   ; € 15,00 ; € -   ; € -   ; € 19,00 ;;;;;;;;;;;;;;
2554;146;;;1;0;0;0;27;29;0;49;0;0;0;106;;; € 16,00 ; € -   ; € -   ; € -   ; € 17,00 ; € 175,00 ; € -   ; € 20,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
2555;34;;;18;18;0;15;0;0;23;0;20;85;38;217;;; € 18,00 ; € 9,00 ; € -   ; € 13,00 ; € -   ; € -   ; € 14,00 ; € -   ; € 20,00 ; € 20,00 ; € 18,00 ;;;;;;;;;;;;;;
2556;35;;;10;0;0;14;0;0;0;20;0;0;1;45;;; € 19,00 ; € -   ; € -   ; € 6,00 ; € -   ; € -   ; € -   ; € 16,00 ; € -   ; € -   ; € 16,00 ;;;;;;;;;;;;;;
2557;61;;;10;23;0;0;0;0;0;20;0;6;5;64;;; € 17,00 ; € 8,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 15,00 ; € -   ; € 20,00 ; € 19,00 ;;;;;;;;;;;;;;
2558;131;;;0;0;0;0;0;0;85;9;0;0;36;130;;; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € 31,00 ; € 20,00 ; € -   ; € -   ; € 15,00 ;;;;;;;;;;;;;;
2559;138;;;8;0;14;0;0;85;47;0;0;33;3;190;;; € 18,00 ; € -   ; € 47,00 ; € -   ; € -   ; € 122,00 ; € 5,00 ; € -   ; € -   ; € 15,00 ; € 15,00 ;;;;;;;;;;;;;;
2560;87;;;0;34;86;0;0;0;27;0;0;0;12;159;;; € -   ; € 10,00 ; € 44,00 ; € -   ; € -   ; € -   ; € 6,00 ; € -   ; € -   ; € -   ; € 18,00 ;;;;;;;;;;;;;;
2561;146;;;36;36;46;0;24;68;56;0;26;27;4;323;;; € 18,00 ; € 8,00 ; € 33,00 ; € -   ; € 17,00 ; € 163,00 ; € 7,00 ; € -   ; € 20,00 ; € 18,00 ; € 15,00 ;;;;;;;;;;;;;;
2562;45;;;3;0;67;13;0;93;0;0;0;105;4;285;;; € 16,00 ; € -   ; € 26,00 ; € 11,00 ; € -   ; € 200,00 ; € -   ; € -   ; € -   ; € 15,00 ; € 19,00 ;;;;;;;;;;;;;;
2563;71;;;14;23;0;18;0;5;51;25;0;0;49;185;;; € 18,00 ; € 5,00 ; € -   ; € 6,00 ; € -   ; € 175,00 ; € 31,00 ; € 15,00 ; € -   ; € -   ; € 16,00 ;;;;;;;;;;;;;;
2564;112;;;12;0;50;13;35;71;75;22;27;94;41;440;;; € 16,00 ; € -   ; € 46,00 ; € 10,00 ; € 15,00 ; € 120,00 ; € 14,00 ; € 19,00 ; € 19,00 ; € 17,00 ; € 19,00 ;;;;;;;;;;;;;;
2565;124;;;19;0;0;15;39;0;18;18;25;21;0;155;;; € 19,00 ; € -   ; € -   ; € 17,00 ; € 18,00 ; € -   ; € 28,00 ; € 20,00 ; € 20,00 ; € 20,00 ; € -   ;;;;;;;;;;;;;;
2566;64;;;18;17;0;0;26;0;0;8;8;0;0;77;;; € 17,00 ; € 6,00 ; € -   ; € -   ; € 20,00 ; € -   ; € -   ; € 17,00 ; € 19,00 ; € -   ; € -   ;;;;;;;;;;;;;;
2567;72;;;0;9;53;13;0;0;0;7;2;0;0;84;;; € -   ; € 8,00 ; € 44,00 ; € 15,00 ; € -   ; € -   ; € -   ; € 15,00 ; € 19,00 ; € -   ; € -   ;;;;;;;;;;;;;;
2568;113;;;32;19;15;5;0;0;63;0;2;74;20;230;;; € 20,00 ; € 10,00 ; € 22,00 ; € 8,00 ; € -   ; € -   ; € 17,00 ; € -   ; € 19,00 ; € 17,00 ; € 17,00 ;;;;;;;;;;;;;;
2569;141;;;2;0;0;1;0;33;0;0;0;103;0;139;;; € 16,00 ; € -   ; € -   ; € 15,00 ; € -   ; € 127,00 ; € -   ; € -   ; € -   ; € 15,00 ; € -   ;;;;;;;;;;;;;;
2570;63;;;20;0;0;0;0;40;54;10;0;0;0;124;;; € 18,00 ; € -   ; € -   ; € -   ; € -   ; € 172,00 ; € 36,00 ; € 19,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
2571;54;;;8;21;0;18;0;0;47;11;0;52;0;157;;; € 18,00 ; € 9,00 ; € -   ; € 12,00 ; € -   ; € -   ; € 21,00 ; € 20,00 ; € -   ; € 19,00 ; € -   ;;;;;;;;;;;;;;
2572;86;;;36;24;0;20;3;1;76;17;25;0;29;231;;; € 15,00 ; € 10,00 ; € -   ; € 6,00 ; € 16,00 ; € 183,00 ; € 10,00 ; € 20,00 ; € 20,00 ; € -   ; € 20,00 ;;;;;;;;;;;;;;
2573;1;;;0;0;0;11;0;0;91;13;0;3;11;129;;; € -   ; € -   ; € -   ; € 7,00 ; € -   ; € -   ; € 14,00 ; € 17,00 ; € -   ; € 20,00 ; € 19,00 ;;;;;;;;;;;;;;
2574;8;;;2;0;27;0;0;0;17;60;0;48;29;183;;; € 16,00 ; € -   ; € 43,00 ; € -   ; € -   ; € -   ; € 18,00 ; € 15,00 ; € -   ; € 19,00 ; € 20,00 ;;;;;;;;;;;;;;
2575;149;;;40;13;0;1;0;0;38;0;0;55;25;172;;; € 16,00 ; € 6,00 ; € -   ; € 20,00 ; € -   ; € -   ; € 10,00 ; € -   ; € -   ; € 19,00 ; € 15,00 ;;;;;;;;;;;;;;
2576;101;;;4;0;62;0;0;83;0;0;11;0;0;160;;; € 16,00 ; € -   ; € 26,00 ; € -   ; € -   ; € 185,00 ; € -   ; € -   ; € 15,00 ; € -   ; € -   ;;;;;;;;;;;;;;
2577;121;;;9;0;99;3;15;0;21;0;0;97;50;294;;; € 15,00 ; € -   ; € 34,00 ; € 13,00 ; € 15,00 ; € -   ; € 10,00 ; € -   ; € -   ; € 16,00 ; € 16,00 ;;;;;;;;;;;;;;
2578;76;;;5;4;83;0;0;83;43;0;0;48;1;267;;; € 16,00 ; € 7,00 ; € 27,00 ; € -   ; € -   ; € 142,00 ; € 26,00 ; € -   ; € -   ; € 15,00 ; € 20,00 ;;;;;;;;;;;;;;
2579;67;;;10;0;43;0;0;0;31;0;2;110;41;237;;; € 18,00 ; € -   ; € 28,00 ; € -   ; € -   ; € -   ; € 19,00 ; € -   ; € 17,00 ; € 15,00 ; € 16,00 ;;;;;;;;;;;;;;
2580;49;;;20;0;0;0;49;23;0;10;0;0;46;148;;; € 15,00 ; € -   ; € -   ; € -   ; € 16,00 ; € 200,00 ; € -   ; € 17,00 ; € -   ; € -   ; € 16,00 ;;;;;;;;;;;;;;
2581;128;;;14;0;0;13;45;0;0;0;0;70;41;183;;; € 15,00 ; € -   ; € -   ; € 6,00 ; € 20,00 ; € -   ; € -   ; € -   ; € -   ; € 18,00 ; € 19,00 ;;;;;;;;;;;;;;
2582;28;;;2;13;0;0;0;1;91;0;19;0;0;126;;; € 18,00 ; € 9,00 ; € -   ; € -   ; € -   ; € 182,00 ; € 27,00 ; € -   ; € 19,00 ; € -   ; € -   ;;;;;;;;;;;;;;
2583;20;;;11;0;6;0;29;7;0;19;0;0;0;72;;; € 18,00 ; € -   ; € 46,00 ; € -   ; € 17,00 ; € 135,00 ; € -   ; € 20,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
2584;5;;;38;0;0;0;0;27;63;30;0;42;3;203;;; € 18,00 ; € -   ; € -   ; € -   ; € -   ; € 147,00 ; € 14,00 ; € 15,00 ; € -   ; € 20,00 ; € 19,00 ;;;;;;;;;;;;;;
2585;90;;;13;18;40;20;0;29;0;36;0;62;50;268;;; € 19,00 ; € 10,00 ; € 39,00 ; € 18,00 ; € -   ; € 188,00 ; € -   ; € 18,00 ; € -   ; € 20,00 ; € 16,00 ;;;;;;;;;;;;;;
2586;147;;;34;0;0;2;40;0;91;0;0;35;0;202;;; € 15,00 ; € -   ; € -   ; € 16,00 ; € 18,00 ; € -   ; € 29,00 ; € -   ; € -   ; € 18,00 ; € -   ;;;;;;;;;;;;;;
2587;135;;;17;5;0;0;11;0;8;9;0;0;24;74;;; € 18,00 ; € 6,00 ; € -   ; € -   ; € 18,00 ; € -   ; € 27,00 ; € 16,00 ; € -   ; € -   ; € 19,00 ;;;;;;;;;;;;;;
2588;146;;;11;18;47;5;32;18;0;0;0;30;0;161;;; € 20,00 ; € 7,00 ; € 16,00 ; € 18,00 ; € 20,00 ; € 164,00 ; € -   ; € -   ; € -   ; € 15,00 ; € -   ;;;;;;;;;;;;;;
2589;98;;;10;38;25;0;10;32;0;0;0;0;0;115;;; € 16,00 ; € 9,00 ; € 24,00 ; € -   ; € 15,00 ; € 144,00 ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
2590;66;;;13;6;0;18;0;0;13;49;0;0;0;99;;; € 15,00 ; € 6,00 ; € -   ; € 15,00 ; € -   ; € -   ; € 12,00 ; € 17,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
2591;131;;;6;0;74;6;0;91;0;11;0;0;0;188;;; € 16,00 ; € -   ; € 17,00 ; € 9,00 ; € -   ; € 105,00 ; € -   ; € 19,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
2592;144;;;34;46;0;0;45;89;71;11;17;0;0;313;;; € 19,00 ; € 10,00 ; € -   ; € -   ; € 20,00 ; € 103,00 ; € 8,00 ; € 15,00 ; € 15,00 ; € -   ; € -   ;;;;;;;;;;;;;;
2593;38;;;4;18;0;0;15;62;0;14;8;0;0;121;;; € 19,00 ; € 9,00 ; € -   ; € -   ; € 15,00 ; € 200,00 ; € -   ; € 18,00 ; € 20,00 ; € -   ; € -   ;;;;;;;;;;;;;;
2594;142;;;13;0;0;0;14;0;65;0;1;0;2;95;;; € 18,00 ; € -   ; € -   ; € -   ; € 18,00 ; € -   ; € 16,00 ; € -   ; € 20,00 ; € -   ; € 20,00 ;;;;;;;;;;;;;;
2595;81;;;7;30;0;0;50;74;21;28;0;92;50;352;;; € 16,00 ; € 8,00 ; € -   ; € -   ; € 16,00 ; € 186,00 ; € 35,00 ; € 16,00 ; € -   ; € 17,00 ; € 16,00 ;;;;;;;;;;;;;;
2596;126;;;14;14;0;10;23;87;33;0;0;83;22;286;;; € 15,00 ; € 9,00 ; € -   ; € 20,00 ; € 16,00 ; € 113,00 ; € 26,00 ; € -   ; € -   ; € 20,00 ; € 15,00 ;;;;;;;;;;;;;;
2597;112;;;16;12;19;5;0;99;0;3;5;0;45;204;;; € 19,00 ; € 10,00 ; € 37,00 ; € 11,00 ; € -   ; € 115,00 ; € -   ; € 16,00 ; € 15,00 ; € -   ; € 20,00 ;;;;;;;;;;;;;;
